148.964 -41.6118
162.316 -42.2027
149.827 -8.09548
154.029 16.9595
124.305 54.8899
97.6164 53.9459
105.352 43.1883
106.952 35.1615
66.6816 8.67619
23.296 -15.7247
77.8899 -23.943
113.477 -33.4291
129.756 -42.8807
113.327 -43.6086
111.512 -64.8918
118.895 -77.1829
136.45 -88.8721
148.682 -99.7333
161.43 -94.3572
158.059 -61.9835
131.466 -70.2238
133.427 -51.6607

-132.617 -6.60128
-138.29 -2.90955
-139.02 -2.59381
-147.022 -19.9711
-163.941 -2.16312
-163.979 8.70779
-159.437 17.7406
-158.267 28.5664
-175.846 41.7835
-185.597 34.7454
-191.054 29.5875
-193.359 21.6808
-192.639 16.8239
-192.851 10.1009
-193 2.1333
-180.735 4.1983
-177.761 -12.8323
-155.047 -29.5286
-155.458 -30.9055
-158.091 -42.2147
-150.872 -42.5618
-135.977 -34.6741
-125.225 -36.8077
-124.585 -50.5936
-127.213 -50.2983
-117.134 -64.457
-104.518 -54.4125
-107.052 -38.6305
-123.028 -29.5441
-123.336 -24.5894
-101.764 -10.632
-118.323 -4.07449
-125.872 -14.7835
